,0,1,2,3
"[320.0, 160.0, 400.0, 240.0]",-0.43393430609319844,-0.428393425453848,-0.4271366860348028,-0.4271041274669904
"[320.0, 240.0, 400.0, 320.0]",0.0,0.0,0.0,0.0
"[320.0, 320.0, 400.0, 400.0]",-0.29925099925029996,-0.26715767534639034,-0.2723007116074119,-0.27649264186153216
"[320.0, 400.0, 400.0, 480.0]",-0.2072242533966165,-0.207154330366047,-0.2042758974426811,-0.20901996844317808
"[320.0, 480.0, 400.0, 560.0]",-0.11214346741242734,-0.11928281619,-0.11955804381762705,-0.11981825400000001
"[320.0, 560.0, 400.0, 640.0]",-0.09028349840607562,-0.08937300000000001,-0.08991003,-0.08955111090000001
"[320.0, 640.0, 400.0, 720.0]",-0.05997,-0.08937300000000001,-0.05997,-0.0598815347806929
"[320.0, 720.0, 400.0, 800.0]",-0.05997,-0.0597,-0.060239730000000005,-0.0597
"[320.0, 800.0, 400.0, 880.0]",-0.05997,-0.05997243,-0.05997,-0.08991003
"[320.0, 880.0, 400.0, 960.0]",-0.06023730000000001,-0.05997,-0.0602373,-0.08937300000000001
"[400.0, 0.0, 480.0, 80.0]",-0.4498001817644045,-0.45161321881997535,-0.44820419370629583,-0.44820419370629583
"[400.0, 80.0, 480.0, 160.0]",-0.44937648259041596,-0.45473786018677326,-0.45730768012711603,-0.4660823945223531
"[400.0, 160.0, 480.0, 240.0]",-0.43387893183488563,-0.4294076173757203,-0.43471744465372986,-0.44820419370629583
"[400.0, 240.0, 480.0, 320.0]",-0.3724432921714593,-0.36652468553000034,-0.3787721976514995,-0.410847529710249
"[400.0, 320.0, 480.0, 400.0]",-0.36024979314799566,-0.35100559038801893,-0.35421860852484094,-0.3526829054149804
"[400.0, 400.0, 480.0, 480.0]",-0.2890603334017678,-0.2906307657194883,-0.2855829969173217,-0.29558856236642533
"[400.0, 480.0, 480.0, 560.0]",-0.09718391110551593,-0.11883871506621901,-0.119886764524094,-0.13993
"[400.0, 560.0, 480.0, 640.0]",-0.06027227284167298,-0.05997,-0.060239730000000005,-0.0601083563404202
"[400.0, 640.0, 480.0, 720.0]",-0.05997,-0.05997,-0.030270000000000002,-0.030328286236129
"[400.0, 720.0, 480.0, 800.0]",-0.05997,-0.05997,-0.030270000000000002,-0.030058041691
"[400.0, 800.0, 480.0, 880.0]",-0.05997,-0.0896424470108409,-0.060239730000000005,-0.07
"[400.0, 880.0, 480.0, 960.0]",-0.05997,-0.05997,-0.0602373,-0.040385242667341906
"[480.0, 0.0, 560.0, 80.0]",0.0,0.0,0.0,0.0
"[480.0, 80.0, 560.0, 160.0]",-0.19938568726104633,-0.1,-0.09209353522776105,-0.1194
"[480.0, 160.0, 560.0, 240.0]",0.0,0.0,0.0,0.0
"[480.0, 240.0, 560.0, 320.0]",-0.1,-0.1197847260769556,-0.09707617318990668,-0.11994
"[480.0, 320.0, 560.0, 400.0]",-0.11994659943634027,-0.11994,-0.06560814934843621,-0.06
"[480.0, 400.0, 560.0, 480.0]",-0.11994,-0.1,-0.07259274144123216,-0.119581534715739
"[480.0, 480.0, 560.0, 560.0]",0.0,0.0,0.0,0.0
"[480.0, 560.0, 560.0, 640.0]",-0.09995000000000001,-0.06961366673608654,-0.08990730439674549,-0.07910142562548557
"[480.0, 640.0, 560.0, 720.0]",-0.0601186809893491,-0.0595847699937829,-0.059789999999999996,-0.059672540915122946
"[480.0, 720.0, 560.0, 800.0]",-0.04998972613477324,-0.09985946756979291,-0.0599682,-0.04946089501
"[480.0, 800.0, 560.0, 880.0]",0.0,0.0,0.0,0.0
"[480.0, 880.0, 560.0, 960.0]",-0.09995000000000001,-0.059850199850059994,-0.05988152757081,-0.06960804970169332
"[560.0, 0.0, 640.0, 80.0]",-0.11994,-0.12047460000000002,-0.1,-0.11994
"[560.0, 80.0, 640.0, 160.0]",-0.11994,-0.06,-0.12000004937025381,-0.1
"[560.0, 160.0, 640.0, 240.0]",-0.06,-0.06,-0.1,-0.06
"[560.0, 240.0, 640.0, 320.0]",-0.06,-0.06,-0.06,-0.11994
"[560.0, 320.0, 640.0, 400.0]",-0.06,-0.06,-0.06,-0.06
"[560.0, 400.0, 640.0, 480.0]",-0.06,-0.040650669368144855,-0.06,-0.060540000000000004
"[560.0, 480.0, 640.0, 560.0]",-0.11967296145480222,-0.07919308923967,-0.09995000000000001,-0.09995000000000001
"[560.0, 560.0, 640.0, 640.0]",-0.06020726963543917,-0.05967174312006598,-0.060374648622149425,-0.068993694782929
"[560.0, 640.0, 640.0, 720.0]",-0.05008018489031626,-0.049566567796219006,-0.049988409550309,-0.05
"[560.0, 720.0, 640.0, 800.0]",-0.030059830090000003,-0.0298801,-0.03023696906371,0.06350563235699
"[560.0, 800.0, 640.0, 880.0]",-0.04905395383868201,-0.039941561187739005,-0.05,-0.05
"[560.0, 880.0, 640.0, 960.0]",-0.05967050227041519,-0.049900099950010005,-0.050078573456860995,-0.05
"[640.0, 0.0, 720.0, 80.0]",-0.06,-0.1,-0.11994,-0.11994
"[640.0, 80.0, 720.0, 160.0]",0.0,0.0,0.0,0.0
"[640.0, 160.0, 720.0, 240.0]",0.0,-0.06,-0.06,-0.06
"[640.0, 240.0, 720.0, 320.0]",-0.06,-0.11994,-0.06,-0.06
"[640.0, 320.0, 720.0, 400.0]",-0.06,-0.1194,-0.06,-0.06
"[640.0, 400.0, 720.0, 480.0]",-0.06,-0.1,-0.11949000000000001,-0.11994
"[640.0, 480.0, 720.0, 560.0]",0.0,0.0,0.0,0.0
"[640.0, 560.0, 720.0, 640.0]",-0.05,-0.05,-0.04038367870786323,-0.0493663591
"[640.0, 640.0, 720.0, 720.0]",0.0,0.0,0.0,0.0
"[640.0, 720.0, 720.0, 800.0]",-0.05,-0.05,-0.01,5.8519850599
"[640.0, 800.0, 720.0, 880.0]",0.0,0.0,0.0,0.0
"[640.0, 880.0, 720.0, 960.0]",0.0,0.0,0.0,0.0
"[720.0, 0.0, 800.0, 80.0]",-0.11994,-0.06,-0.11994,-0.1
"[720.0, 80.0, 800.0, 160.0]",-0.06,-0.06,-0.1,-0.1
"[720.0, 160.0, 800.0, 240.0]",-0.06,-0.06,-0.06,-0.06
"[720.0, 240.0, 800.0, 320.0]",-0.06,-0.06,-0.06,-0.06
"[720.0, 320.0, 800.0, 400.0]",-0.06,-0.06,-0.06,-0.06
"[720.0, 400.0, 800.0, 480.0]",-0.06,-0.1,-0.11994,-0.06
"[720.0, 480.0, 800.0, 560.0]",0.0,0.0,0.0,0.0
"[720.0, 560.0, 800.0, 640.0]",-0.05,-0.0199,-0.0201721398659119,-0.029790999999999998
"[720.0, 640.0, 800.0, 720.0]",-0.01,1.99,-0.05,0.0
"[720.0, 720.0, 800.0, 800.0]",0.0,0.0,0.0,0.0
"[720.0, 800.0, 800.0, 880.0]",0.0,0.0,0.0,-0.01
"[720.0, 880.0, 800.0, 960.0]",0.0,0.0,0.0,0.0
"[800.0, 0.0, 880.0, 80.0]",0.0,0.0,0.0,0.0
"[800.0, 80.0, 880.0, 160.0]",0.0,0.0,0.0,0.0
"[800.0, 160.0, 880.0, 240.0]",-0.1,-0.06,-0.06,-0.06
"[800.0, 240.0, 880.0, 320.0]",-0.06,-0.06,-0.06,0.0
"[800.0, 320.0, 880.0, 400.0]",-0.06,-0.06,-0.06,-0.06
"[800.0, 400.0, 880.0, 480.0]",-0.06,-0.01,-0.06,-0.06
"[800.0, 480.0, 880.0, 560.0]",-0.06,-0.01999,-0.05,-0.01999
"[800.0, 560.0, 880.0, 640.0]",-0.0199,-0.0199,-0.01009,-0.0199
"[800.0, 640.0, 880.0, 720.0]",0.0,-0.01,-0.0009999999999999998,0.0
"[800.0, 720.0, 880.0, 800.0]",0.0,-0.01,1.0,0.0
"[800.0, 800.0, 880.0, 880.0]",-0.01,-0.01,-0.01,-0.01
"[800.0, 880.0, 880.0, 960.0]",-0.01,0.0,0.0,-0.05
"[880.0, 0.0, 960.0, 80.0]",0.0,0.0,0.0,0.0
"[880.0, 80.0, 960.0, 160.0]",0.0,0.0,0.0,0.0
"[880.0, 160.0, 960.0, 240.0]",0.0,0.0,-0.06,-0.06
"[880.0, 240.0, 960.0, 320.0]",0.0,0.0,0.0,0.0
"[880.0, 320.0, 960.0, 400.0]",0.0,0.0,-0.06,0.0
"[880.0, 400.0, 960.0, 480.0]",0.0,-0.01,-0.06,0.0
"[880.0, 480.0, 960.0, 560.0]",-0.06,-0.01,-0.01999,-0.01
"[880.0, 560.0, 960.0, 640.0]",-0.01,-0.05,-0.01999,-0.01
"[880.0, 640.0, 960.0, 720.0]",0.0,0.0,0.0,0.0
"[880.0, 720.0, 960.0, 800.0]",0.0,-0.01,0.0,0.0
"[880.0, 800.0, 960.0, 880.0]",-0.01,0.0,-0.01,0.0
"[880.0, 880.0, 960.0, 960.0]",0.0,0.0,0.0,0.0
finished,0.0,0.0,0.0,0.0
